Student	ID	Homework Assignment #1 (2786783)	Lab #1 (2829219)	Homework Assignment #2 (2786789)	Lab #2 (2786809)	Homework Assignment #3 (2786785)	Lab #3 (2786810)	Homework Assignment #4 (2786784)	Lab #4 (2786811)	Homework Assignment #5 - Quick Answer Portion (2786786)	Homework Assignment #5 - Problem Portion (2786793)	Lab #5 (2856765)	Midterm 1 (2786796)	Homework Assignment #6 (2786791)	Lab #6 (2786812)	Homework Assignment #7 (2786790)	Lab #7 (2786813)	Homework Assignment #8 (2786787)	Midterm 2 (2786797)	Lab #8 (2870743)	Lab #9 - Beam Lab (2786814)	Lab #10 (2786815)	Final Exam (2786798)	Bonus Assignment #9 (2786795)
F424D	1000013	60	10	60	10	70	10	80	13	21	50	10	60	70	10	60	8.5	80	98	10	10	10	56	55
F424E	1000014	60	10	60	11	70	9	80	8	21	50	10	71	70	10	60	10	80	85.75	10	10	10	83.5	49
F424F	1000015	60	10	60	10	70	10	80	13	21	50	9.5	58.5	70	10	60	10	80	49.25	10	12	10	58.5	55
F4250	1000016	60	10	60	10	70	10	80	13	21	50	10	86	70	10	60	10	80	93	10	10	10	83	55
F4251	1000017	60	10	52.5	10	70	0	80	10	21	50	10	65	70	10	60	10	80	81.25	10	10	10	75	55
F4252	1000018	60	10	60	10	70	10	80	13	21	50	10	72.5	70	10	60	10	80	84.25	10	10	10	55	55
F4253	1000019	60	0	60	10	70	10	80	13	21	50	10	51	70	10	60	10	80	74.5	10	10	10	68.5	53
F4254	1000020	60	10	53	10	70	11	80	10	21	50	10	58	70	8	50	8	70	56	10	10	8	47	21.5
F4255	1000021	60	10	60	10	70	10	80	13	21	50	10	76	70	10	60	10	80	78.5	10	10	10	68.5	55
F4256	1000022	60	10	60	10	70	10	80	13	21	50	10	80	70	10	60	10	80	89.5	10	10	10	87	55
F4257	1000023	60	9.5	60	10	70	10	80	8.5	21	50	9.5	57	70	10	60	8	80	31	10	10	10	31	12.5
F4258	1000024	60	10	60	10	70	10	80	13	21	50	12	73	70	10	60	10	80	79	10	12	10	61.5	55
F4259	1000025	60	10	60	10	70	10	80	13	21	47.5	10	55	70	10	60	10	80	77	10	10	12	93	38
F425A	1000026	60	10	60	10	70	12	80	13	21	50	10	58	70	10	60	9.5	80	65	10	9.5	10	55	9.5
F425B	1000027	60	10	60	10	70	10	80	10	21	45	10	70.5	70	10	60	10	80	61	10	10	10	65.5	16.5
F425C	1000028	60	10	60	10	70	10	80	10	21	50	10	81	70	10	60	10	80	94.5	10	10	10	77.5	55
F425D	1000029	60	10	60	0	70	10	80	10	21	50	10	82	70	10	60	0	80	98	10	10	10	78	44
F425E	1000030	60	10	60	10	70	10	80	13	21	50	10	55	70	10	60	10	80	75	10	11	10	86	28
F425F	1000031	58	10	51	10	62	11	34	12	21	35	11.5	64	60	8	0	10	50	76.5	10	10	10	65.5	5
F4260	1000032	53	10	53.5	10	70	10	80	10	21	50	10	43	62	10	60	10	80	63.75	10	10	10	71.5	16
F4261	1000033	60	10	60	12	70	10	80	13	21	50	10	78.5	70	10	60	10	80	82	10	9.5	10	75.5	39
F4262	1000034	60	10	60	10	70	10	80	13	21	50	10	63	70	10	60	9.5	80	67	10	9.5	10	73	55
F4263	1000035	60	10	60	10	70	10	80	11	21	50	10	76	70	10	60	10	80	46	10	10	10	69	55
F4264	1000036	60	10	60	10	70	11.5	80	13	21	50	10.5	70	70	9	60	10	70	69	8	10	10	70.5	37
F4265	1000037	60	10	60	10	70	10	80	10	21	50	10	75	70	10	57.5	9	75	88.25	10	10	10	78	0
F4266	1000038	60	10	60	10	70	10	80	10	21	50	10	51.5	70	10	60	10	80	66	10	10	10	58.5	55
F4267	1000039	60	10	60	10	70	10	80	13	21	50	9.5	68	70	10	60	10	80	73	10	10	10	67.5	50
F4268	1000040	60	10	60	10	70	10	80	13	21	50	10	53	70	10	60	10	80	66	10	9.5	10	71	29
F4269	1000041	60	10	60	10	70	10	80	13	21	50	9.5	73	70	10	60	10	80	87.25	10	12	10	70	55
